Stkcd,Indcd,Indnme,Nindcd,Nindnme,,
1,1,金融,I01,银行业,,
2,3,房地产,J01,房地产开发与经营业,,
3,4,综合,M,综合类,,
4,2,公用事业,F03,公路运输业,,
5,4,综合,M,综合类,,
6,3,房地产,J01,房地产开发与经营业,,
7,3,房地产,J01,房地产开发与经营业,,
8,2,公用事业,G87,计算机应用服务业,,
9,4,综合,M,综合类,,
10,6,商业,H21,商业经纪与代理业,,
11,4,综合,M,综合类,,
12,5,工业,C61,非金属矿物制品业,,
13,6,商业,H03,能源、材料和机械电子设备批发业,,
14,3,房地产,J01,房地产开发与经营业,,
15,4,综合,M,综合类,,
16,5,工业,C55,日用电子器具制造业,,
17,5,工业,C75,交通运输设备制造业,,
18,5,工业,C11,纺织业,,
19,5,工业,C05,饮料制造业,,
20,5,工业,C55,日用电子器具制造业,,
21,5,工业,G83,计算机及相关设备制造业,,
22,2,公用事业,F11,交通运输辅助业,,
23,3,房地产,E01,土木工程建筑业,,
24,3,房地产,J01,房地产开发与经营业,,
25,4,综合,M,综合类,,
26,5,工业,C78,仪器仪表及文化、办公用机械制造业,,
27,5,工业,D01,电力、蒸汽、热水的生产和供应业,,
28,5,工业,C81,医药制造业,,
29,3,房地产,J01,房地产开发与经营业,,
30,5,工业,C99,其他制造业,,
31,3,房地产,J01,房地产开发与经营业,,
32,5,工业,G81,通信及相关设备制造业,,
33,6,商业,K32,旅馆业,,
34,4,综合,M,综合类,,
35,5,工业,G81,通信及相关设备制造业,,
36,5,工业,C11,纺织业,,
37,5,工业,D01,电力、蒸汽、热水的生产和供应业,,
38,2,公用事业,G87,计算机应用服务业,,
39,5,工业,C69,金属制品业,,
40,4,综合,M,综合类,,
42,3,房地产,J01,房地产开发与经营业,,
43,4,综合,M,综合类,,
45,5,工业,C11,纺织业,,
46,3,房地产,J01,房地产开发与经营业,,
47,3,房地产,J01,房地产开发与经营业,,
48,5,工业,C01,食品加工业,,
