Date	latitude	longitude	depth	mag	MMI6	MMI5	MMI1	EstFatalities	EstLoss(mUSD)
20070602	23.028	101.052	5	6.1	20	30	250	NA	NA		
20080512	31.936	104.4505	19	7.9	150	200	1200	NA	NA		
20080525	32.56	105.423	18	6.1	20	30	600	NA	NA		
20080805	32.756	105.494	6	6	20	30	400	NA	NA		
20080821	25.039	97.697	10	6	20	30	200	NA	NA		
20080830	26.241	101.889	11	6	20	30	200	NA	NA		
20081110	37.565	95.833	19	6.3	30	50	200	NA	NA			
20090828	37.696	95.718	13	6.3	30	50	200	NA	NA			
20100413	33.195	96.449	7.6	6.9	75	100	750	NA	NA			
20120629	43.433	84.7	18	6.3	50	250	550	NA	NA	
20130420	30.308	102.888	14	7	75	100	750	1000	10000
20140212	35.9053	82.5864	10	6.9	75	150	750	1	10
20140803	27.1891	103.4086	12	6.2	30	50	400	100	10000
20141007	23.3834	100.4702	8.51	6.1	25	40	300	1	1000		
20150703	37.4593	78.1542	20	6.4	40	50	300	1	100
20161208	43.8229	86.3451	17.55	6	20	30	150	1	1
